id,object,area,perimeter,height,width,dist,formfactor,aspect_ratio
26,keycap_ext,555,246,39.0,43.0,2.1747852423717604,0.11524779712752566,1.1025641025641026
46,coin,512,100,25.0,25.0,2.3080929346566563,0.6433981754551896,1.0
62,coin,511,98,25.0,24.0,2.3253548559048847,0.6686188446415594,0.96
61,coin,511,98,25.0,24.0,2.3253548559048847,0.6686188446415594,0.96
63,coin,511,98,25.0,24.0,2.3253548559048847,0.6686188446415594,0.96
49,coin,483,96,24.0,24.0,2.404087232514892,0.6585890849322352,1.0
70,coin,486,94,24.0,23.0,2.414623178907949,0.6911788273628969,0.9583333333333334
68,coin,484,94,23.0,24.0,2.418909737717045,0.6883344700486465,1.0434782608695652
65,coin,482,94,24.0,23.0,2.423220477263203,0.6854901127343959,0.9583333333333334
41,coin,474,96,24.0,24.0,2.4247435642555186,0.6463172386291501,1.0
59,coin,478,94,23.0,24.0,2.4319144985667056,0.6798013981058946,1.0434782608695652
58,coin,478,94,24.0,23.0,2.4319144985667056,0.6798013981058946,0.9583333333333334
57,coin,478,94,23.0,24.0,2.4319144985667056,0.6798013981058946,1.0434782608695652
53,coin,469,94,23.0,24.0,2.451829689779123,0.6670017901917668,1.0434782608695652
50,coin,468,94,24.0,23.0,2.454072714724053,0.6655796115346415,0.9583333333333334
56,coin,460,92,23.0,23.0,2.489226905017742,0.6829549246934333,1.0
55,coin,455,92,23.0,23.0,2.50017645621926,0.6755315015989395,1.0
43,coin,443,92,23.0,23.0,2.5271090539400918,0.6577152861721542,1.0
69,coin,451,90,23.0,22.0,2.5278007776026423,0.6996831045772823,0.9565217391304348
39,coin,422,90,22.0,23.0,2.591526393329333,0.6546923949703174,1.0454545454545454
15,airpods,389,120,25.0,35.0,2.6190543598557237,0.3394665395128971,1.4
45,coin,416,88,22.0,22.0,2.622464225178476,0.6750529668870631,1.0
18,airpods,383,113,21.0,36.0,2.637390706189604,0.37692222925049435,1.7142857142857142
13,airpods,384,124,27.0,33.0,2.637640155924694,0.3138323566541313,1.2222222222222223
14,airpods,379,118,18.0,36.0,2.6513475397258266,0.3420464279547634,2.0
11,airpods,377,119,38.0,16.0,2.6583853506698736,0.3345471168429777,0.42105263157894735
12,airpods,370,116,38.0,16.0,2.680527976481603,0.3455378364530985,0.42105263157894735
9,airpods,370,124,23.0,35.0,2.6847670392639222,0.30239055198444936,1.5217391304347827
16,airpods,367,112,37.0,17.0,2.6896295160420913,0.3676544974067137,0.4594594594594595
17,airpods,367,112,37.0,16.0,2.6896295160420913,0.3676544974067137,0.43243243243243246
10,airpods,363,114,38.0,16.0,2.7032238634440438,0.3509997332265605,0.42105263157894735
7,airpods,360,122,25.0,33.0,2.7173898891335426,0.30394339029624445,1.32
6,airpods,359,118,24.0,33.0,2.7183139144715622,0.3239964845270714,1.375
4,airpods,357,118,37.0,15.0,2.725090389996488,0.32219149018430226,0.40540540540540543
5,airpods,355,120,31.0,27.0,2.733109804100914,0.3097959422289935,0.8709677419354839
2,airpods,353,118,37.0,15.0,2.738686889073803,0.31858150149876385,0.40540540540540543
8,airpods,353,122,32.0,26.0,2.7413491005617763,0.298033379929373,0.8125
3,airpods,351,116,34.0,19.0,2.744387488699024,0.3277940016082097,0.5588235294117647
178,card,3652,282,83.0,58.0,2.7476414613862215,0.5770884950912895,0.6987951807228916
1,airpods,345,118,29.0,29.0,2.766054079338292,0.3113615241276871,1.0
0,airpods,344,115,23.0,33.0,2.76770521431452,0.32686816569675275,1.434782608695652
199,airpods,343,116,34.0,20.0,2.771680087288632,0.32032291325246703,0.5882352941176471
179,card,3683,330,86.0,79.0,2.8116703907072065,0.4249948849649663,0.9186046511627908
180,card,3685,262,52.0,79.0,2.906592405217838,0.6745975717311572,1.5192307692307692
182,card,3764,337,88.0,81.0,3.088932380794666,0.416485299619156,0.9204545454545454
181,card,3735,253,77.0,49.0,3.1157100708196017,0.7332624200445487,0.6363636363636364
183,card,3770,282,58.0,83.0,3.157740897339653,0.59573483748471,1.4310344827586208
184,card,3778,256,50.0,78.0,3.259877326375975,0.7244224270789941,1.56
185,card,3817,319,72.0,88.0,3.2857570699470706,0.4713577562623104,1.2222222222222223
20,converter,180,66,14.0,19.0,3.3592988053440687,0.5192715129900485,1.3571428571428572
19,converter,178,67,18.0,16.0,3.360916151074064,0.4982878078315734,0.8888888888888888
29,converter,184,62,13.0,18.0,3.375506821949501,0.6015120169204182,1.3846153846153846
21,converter,172,64,14.0,18.0,3.391126786686592,0.5276893910326605,1.2857142857142858
25,converter,171,62,12.0,18.0,3.405464671227648,0.5590138852901713,1.5
24,converter,169,62,14.0,18.0,3.4104241790205103,0.5524757111932103,1.2857142857142858
74,converter,193,58,10.0,19.0,3.411611389024941,0.7209600263291678,1.9
33,converter,175,60,11.0,18.0,3.4127623173412163,0.6108652381980153,1.6363636363636365
23,converter,168,62,18.0,12.0,3.412938993707332,0.5492066241447298,0.6666666666666666
32,converter,174,60,12.0,18.0,3.4147794993224645,0.6073745796940266,1.5
22,converter,166,62,12.0,18.0,3.418038744661761,0.5426684500477686,1.5
66,converter,181,58,10.0,19.0,3.4261129580891727,0.6761334961947117,1.9
36,converter,170,59,19.0,11.0,3.4324625148714376,0.6136980765415281,0.5789473684210527
30,converter,166,59,18.0,12.0,3.440434211572339,0.5992581217993745,0.6666666666666666
37,converter,164,58,18.0,11.0,3.4540293127171147,0.612629245170899,0.6111111111111112
35,converter,163,58,11.0,18.0,3.455940628450128,0.6088937009930276,1.6363636363636365
77,converter,183,56,10.0,18.0,3.456733053505274,0.7333054280700665,1.8
44,converter,161,57,18.0,11.0,3.4700275953355817,0.6227102705176444,0.6111111111111112
27,converter,153,58,17.0,12.0,3.4766987577137884,0.5715382592143143,0.7058823529411765
42,converter,154,56,10.0,18.0,3.4931504621674137,0.6170985569551379,1.8
79,converter,158,52,9.0,17.0,3.5492593668135153,0.7342775728804546,1.8888888888888888
186,card,3868,270,81.0,54.0,3.5495639525937204,0.6667588688112658,0.6666666666666666
187,card,3895,340,82.0,88.0,3.567076208818437,0.4234084216516348,1.0731707317073171
188,card,3929,348,86.0,88.0,3.69528155978256,0.40769314096823545,1.0232558139534884
189,card,3906,256,79.0,49.0,3.7474858387906145,0.7489661196851644,0.620253164556962
190,card,3944,282,83.0,58.0,3.8145404840665194,0.6232302915224659,0.6987951807228916
191,card,3942,266,81.0,52.0,3.851165567202757,0.7001050506219099,0.6419753086419753
192,card,3985,284,84.0,58.0,3.973880825519349,0.6208711924496789,0.6904761904761905
193,card,4023,316,89.0,69.0,4.081994713121658,0.5062741245550287,0.7752808988764045
96,tear,14,14,13.0,0.0,4.247160303193049,0.8975979010256552,0.0
194,card,4073,338,91.0,78.0,4.2739698906899,0.4480132655744276,0.8571428571428571
98,tear,13,13,12.0,0.0,4.328345353316067,0.966643893412244,0.0
100,tear,13,13,12.0,0.0,4.328345353316067,0.966643893412244,0.0
99,keycap_ext,13,13,12.0,0.0,4.328345353316067,0.966643893412244,0.0
195,card,4083,298,86.0,63.0,4.351671922414049,0.5777722987526294,0.7325581395348837
105,tear,12,12,11.0,0.0,4.434449544150784,1.0471975511965976,0.0
103,tear,12,12,11.0,0.0,4.434449544150784,1.0471975511965976,0.0
104,tear,12,12,11.0,0.0,4.434449544150784,1.0471975511965976,0.0
196,card,4132,324,90.0,72.0,4.530397530098021,0.4946296618134821,0.8
110,keycap_ext,11,11,10.0,0.0,4.575853821220911,1.1423973285781064,0.0
111,keycap_ext,11,11,10.0,0.0,4.575853821220911,1.1423973285781064,0.0
124,keycap_ext,10,10,9.0,0.0,4.768669067404676,1.2566370614359172,0.0
132,tear,9,9,8.0,0.0,5.0388932034064755,1.3962634015954636,0.0
137,keycap_ext,8,8,7.0,0.0,5.430507758970336,1.5707963267948966,0.0
138,keycap_ext,8,8,7.0,0.0,5.430507758970336,1.5707963267948966,0.0
151,keycap_ext,7,7,6.0,0.0,6.022392408877513,1.7951958020513104,0.0
168,keycap_ext,6,6,5.0,0.0,6.966901329405964,2.094395102393196,0.0
173,psu,5,5,4.0,0.0,8.588403361798036,2.5132741228718345,0.0
174,keycap_ext,5,5,4.0,0.0,8.588403361798036,2.5132741228718345,0.0
176,keycap_ext,4,4,3.0,0.0,11.676630537125439,3.1415926535897927,0.0
175,psu,4,4,3.0,0.0,11.676630537125439,3.1415926535897927,0.0
197,psu,3,3,2.0,0.0,18.575604167309226,4.188790204786391,0.0
198,psu,1,1,0.0,0.0,152.70019241749424,12.566370614359169,
